Year,Month,Con,Lab,LD
2005,May,27,40,26
2005,May,30,37,26
2005,May,31,38,23
2005,Jun,29,42,21
2005,Jun,31,38,23
2005,Jun,33,38,20
2005,Jul,28,41,25
2005,Jul,31,39,23
2005,Jul,28,40,22
2005,Jul,31,40,21
2005,Aug,31,39,24
2005,Aug,31,38,22
2005,Aug,33,40,20
2005,Sep,35,37,20
2005,Sep,32,37,21
2005,Sep,31,40,21
2005,Sep,29,39,25
2005,Sep,32,40,20
2005,Oct,32,38,22
2005,Oct,30,40,21
2005,Oct,33,41,18
2005,Oct,33,36,22
2005,Oct,32,40,19
2005,Oct,34,40,21
2005,Nov,35,37,20
2005,Nov,33,39,21
2005,Nov,32,40,19
2005,Nov,32,42,19
2005,Nov,33,38,19
2005,Nov,35,37,20
2005,Dec,36,36,18
2005,Dec,37,36,18
2005,Dec,37,35,21
2005,Dec,37,38,17
2005,Dec,35,38,19
2005,Dec,40,31,21
2005,Dec,38,36,18
2005,Dec,37,36,21
2006,Jan,38,38,16
2006,Jan,36,39,16
2006,Jan,39,35,20
2006,Jan,39,39,15
2006,Jan,40,38,17
2006,Jan,37,36,19
2006,Jan,39,40,13
2006,Jan,37,36,18
2006,Feb,37,36,18
2006,Feb,37,39,15
2006,Feb,35,38,20
2006,Feb,37,34,21
2006,Feb,38,36,18
2006,Mar,39,37,16
2006,Mar,35,35,20
2006,Mar,34,37,21
2006,Mar,34,39,19
2006,Mar,38,35,19
2006,Mar,33,37,21
2006,Mar,36,36,18
2006,Mar,34,36,21
2006,Apr,37,36,17
2006,Apr,35,35,21
2006,Apr,33,35,17
2006,Apr,30,30,25
2006,Apr,34,32,24
2006,Apr,35,32,18
2006,Apr,36,32,21
2006,Apr,35,32,19
2006,May,38,30,20
2006,May,37,31,17
2006,May,38,34,20
2006,May,38,32,16
2006,May,41,31,18
2006,Jun,37,34,18
2006,Jun,41,34,18
2006,Jun,37,32,21
2006,Jun,36,33,21
2006,Jun,39,32,17
2006,Jun,39,33,18
2006,Jun,36,35,18
2006,Jul,41,31,15
2006,Jul,36,34,19
2006,Jul,36,32,24
2006,Jul,39,35,17
2006,Jul,38,33,18
2006,Aug,40,31,22
2006,Aug,38,31,18
2006,Aug,35,36,19
2006,Sep,36,32,20
2006,Sep,40,32,17
2006,Sep,40,30,14
2006,Sep,38,31,18
2006,Sep,37,33,21
2006,Sep,36,32,22
2006,Sep,38,31,18
2006,Sep,37,33,18
2006,Sep,36,36,16
2006,Sep,36,35,19
2006,Oct,38,32,20
2006,Oct,36,35,18
2006,Oct,35,37,18
2006,Oct,38,32,14
2006,Oct,39,29,22
2006,Oct,39,32,16
2006,Nov,36,33,20
2006,Nov,35,33,20
2006,Nov,37,32,22
2006,Nov,34,36,17
2006,Nov,37,32,16
2006,Nov,39,31,20
2006,Dec,37,36,18
2006,Dec,34,33,19
2006,Dec,40,32,18
2006,Dec,37,33,17
2006,Dec,36,37,14
2006,Dec,37,32,15
2007,Jan,39,32,18
2007,Jan,37,31,23
2007,Jan,39,35,19
2007,Jan,38,31,18
2007,Jan,34,29,21
2007,Feb,36,33,19
2007,Feb,37,32,18
2007,Feb,40,31,19
2007,Feb,37,32,17
2007,Feb,40,29,17
2007,Mar,38,30,18
2007,Mar,40,29,21
2007,Mar,41,33,17
2007,Mar,38,32,16
2007,Mar,,,
2007,Mar,41,31,18
2007,Mar,,,
2007,Mar,39,31,19
2007,Mar,35,31,20
2007,Mar,39,32,17
2007,Apr,39,32,16
2007,Apr,37,29,20
2007,Apr,35,34,19
2007,Apr,38,31,20
2007,Apr,36,27,22
2007,Apr,37,30,21
2007,Apr,37,32,18
2007,Apr,,,
2007,May,37,32,16
2007,May,38,34,15
2007,May,37,33,17
2007,May,33,32,20
2007,May,37,35,18
2007,May,34,32,21
2007,May,39,33,15
2007,May,35,31,19
2007,May,37,32,21
2007,Jun,36,33,17
2007,Jun,36,33,17
2007,Jun,37,35,14
2007,Jun,36,39,15
2007,Jun,37,32,18
2007,Jun,35,39,18
2007,Jun,35,38,15
2007,Jun,34,37,18
2007,Jul,35,37,17
2007,Jul,36,40,14
2007,Jul,33,40,19
2007,Jul,35,41,15
2007,Jul,33,40,15
2007,Jul,32,38,20
