Year,Month,Con,Lab,LD
2010,May,38,34,21
2010,May,38,33,21
2010,May,37,34,21
2010,May,,,
2010,May,,,
2010,May,,,
2010,May,39,32,21
2010,May,38,29,21
2010,May,,,
2010,May,39,32,21
2010,May,,,
2010,May,37,33,21
2010,Jun,36,30,25
2010,Jun,,,
2010,Jun,42,28,19
2010,Jun,,,
2010,Jun,,,
2010,Jun,,,
2010,Jun,39,32,19
2010,Jun,40,32,18
2010,Jun,,,
2010,Jun,,,
2010,Jun,36,30,23
2010,Jun,40,31,19
2010,Jun,39,31,19
2010,Jun,39,31,21
2010,Jun,39,34,19
2010,Jun,41,33,18
2010,Jun,41,37,15
2010,Jun,42,34,17
2010,Jun,39,33,18
2010,Jun,41,35,16
2010,Jun,43,34,17
2010,Jun,43,36,16
2010,Jun,40,31,18
2010,Jun,42,35,16
2010,Jun,42,36,15
2010,Jun,42,36,15
2010,Jun,,,
2010,Jun,,,
2010,Jul,41,36,16
2010,Jul,37,33,18
2010,Jul,40,36,16
2010,Jul,41,36,15
2010,Jul,40,36,17
2010,Jul,42,35,16
2010,Jul,42,34,17
2010,Jul,38,34,16
2010,Jul,42,35,15
2010,Jul,42,35,15
2010,Jul,43,34,15
2010,Jul,43,34,15
2010,Jul,40,37,15
2010,Jul,42,35,15
2010,Jul,43,35,14
2010,Jul,44,35,13
2010,Jul,43,35,15
2010,Jul,41,36,14
2010,Jul,40,30,23
2010,Jul,38,34,19
2010,Jul,40,38,14
2010,Jul,42,35,15
2010,Jul,42,37,14
2010,Jul,42,36,14
2010,Jul,42,38,12
2010,Jul,,,
2010,Aug,42,38,12
2010,Aug,41,36,13
2010,Aug,42,36,13
2010,Aug,44,36,13
2010,Aug,42,36,13
2010,Aug,39,33,16
2010,Aug,40,36,15
2010,Aug,42,38,14
2010,Aug,41,37,15
2010,Aug,42,37,14
2010,Aug,38,36,16
2010,Aug,42,37,13
2010,Aug,39,30,16
2010,Aug,37,37,18
2010,Aug,39,33,15
2010,Aug,41,37,15
2010,Aug,42,37,14
2010,Aug,44,36,12
2010,Aug,41,37,14
2010,Aug,41,38,12
2010,Aug,41,39,12
2010,Aug,41,38,13
2010,Aug,42,37,12
2010,Aug,42,37,12
2010,Aug,41,37,13
2010,Aug,43,38,11
2010,Aug,43,37,12
2010,Sep,42,37,12
2010,Sep,42,37,12
2010,Sep,38,34,18
2010,Sep,42,37,13
2010,Sep,42,38,13
2010,Sep,42,38,12
2010,Sep,42,37,14
2010,Sep,42,38,14
2010,Sep,39,37,14
2010,Sep,37,37,15
2010,Sep,41,38,12
2010,Sep,40,39,12
2010,Sep,42,39,12
2010,Sep,37,35,15
2010,Sep,41,38,12
2010,Sep,41,39,13
2010,Sep,37,35,13
2010,Sep,,,
2010,Sep,42,38,11
2010,Sep,39,39,13
2010,Sep,43,36,14
2010,Sep,41,37,13
2010,Sep,39,38,15
2010,Sep,39,40,12
2010,Sep,41,40,12
2010,Sep,41,39,12
2010,Sep,35,37,18
2010,Sep ,41,39,12
2010,Sep,39,36,15
2010,Sep,39,41,11
2010,Sep,35,38,16
2010,Sep,41,37,13
2010,Oct,41,39,12
2010,Oct,43,39,11
2010,Oct,42,40,11
2010,Oct,42,38,12
2010,Oct,38,34,18
2010,Oct,42,38,12
2010,Oct,42,38,12
2010,Oct,43,36,12
2010,Oct,41,40,11
2010,Oct,42,38,12
2010,Oct,40,34,14
2010,Oct,41,39,11
2010,Oct,39,36,14
2010,Oct,41,39,12
2010,Oct,42,39,11
2010,Oct,41,39,11
2010,Oct,41,40,10
2010,Oct,40,36,16
2010,Oct,41,40,10
2010,Oct,35,37,10
2010,Oct,39,36,16
2010,Oct,37,38,15
2010,Oct,40,40,11
2010,Oct,40,38,12
2010,Oct,41,39,12
2010,Oct,41,39,11
2010,Oct,35,37,15
2010,Oct,42,37,13
2010,Oct,38,35,13
2010,Oct,35,37,16
2010,Oct,41,39,11
2010,Nov,41,40,11
2010,Nov,40,40,9
2010,Nov,40,39,11
2010,Nov,40,39,12
2010,Nov,42,39,11
2010,Nov,40,39,13
2010,Nov,39,33,14
2010,Nov,42,37,11
2010,Nov,40,40,10
2010,Nov,39,41,10
2010,Nov,36,39,14
2010,Nov,40,42,10
2010,Nov,37,42,10
2010,Nov,40,40,11
2010,Nov,38,34,13
2010,Nov,40,40,11
2010,Nov,37,38,13
2010,Nov,40,38,11
2010,Nov,36,38,14
2010,Nov,41,38,11
2010,Nov,42,40,10
2010,Nov,40,40,9
2010,Nov,42,39,10
2010,Nov,40,40,9
2010,Nov,37,35,14
2010,Nov,36,40,12
2010,Nov,40,40,10
2010,Nov,40,40,10
2010,Nov,35,40,13
2010,Nov,41,38,11
2010,Dec,40,40,11
2010,Dec,38,34,13
2010,Dec,41,39,10
2010,Dec,42,39,10
2010,Dec,42,39,9
2010,Dec,41,41,8
2010,Dec,35,41,9
2010,Dec,38,37,11
2010,Dec,41,39,11
2010,Dec,40,42,9
2010,Dec,37,36,12
2010,Dec,38,39,11
2010,Dec,41,42,9
2010,Dec,39,42,9
2010,Dec,42,40,8
2010,Dec,41,41,9
2010,Dec,37,39,11
2010,Dec,39,42,9
2010,Dec,37,39,13
2010,Dec,37,37,12
2010,Dec,40,43,8
2010,Dec,40,42,9
2010,Dec,41,42,8
2010,Dec,39,41,9
2011,Jan,40,42,8
2011,Jan,40,41,10
2011,Jan,39,43,7
2011,Jan,37,39,11
2011,Jan,35,40,12
2011,Jan,38,41,10
2011,Jan,34,42,12
2011,Jan,40,43,8
2011,Jan,40,41,7
2011,Jan,36,43,9
2011,Jan,37,42,10
2011,Jan,41,41,8
2011,Jan,36,40,10
2011,Jan,37,43,9
2011,Jan,35,38,12
2011,Jan,37,42,9
2011,Jan,39,44,8
2011,Jan,37,42,9
2011,Jan,36,43,10
2011,Jan,40,37,10
2011,Jan,39,43,9
2011,Jan,35,39,15
2011,Jan,33,43,13
2011,Jan,37,42,11
2011,Jan,37,43,10
2011,Jan,33,41,12
2011,Jan,39,41,10
2011,Jan,34,38,12
2011,Jan,38,44,8
2011,Jan,32,43,11
2011,Jan,39,43,8
2011,Jan,34,43,10
2011,Jan,40,42,8
2011,Jan,39,44,8
2011,Feb,36,44,9
2011,Feb,37,44,9
2011,Feb,35,40,11
2011,Feb,36,42,10
2011,Feb,36,39,11
2011,Feb,37,43,9
2011,Feb,35,43,10
2011,Feb,36,43,10
2011,Feb,34,40,11
2011,Feb,36,38,11
2011,Feb,36,42,11
2011,Feb,35,44,10
2011,Feb,35,45,9
2011,Feb,36,44,10
2011,Feb,37,44,10
2011,Feb,35,45,10
2011,Feb,33,41,10
2011,Feb,35,36,12
2011,Feb,36,42,10
