Year,Month,Con,Lab,LD
2015,May,40,31,6
2015,May,,,
2015,May,,,
2015,May,41,29,7
2015,May,,,
2015,May,41,29,8
2015,Jun,,,
2015,Jun,,,
2015,Jun,37,31,8
2015,Jun,39,30,9
2015,Jun,,,
2015,Jun,42,31,6
2015,Jun,,,
2015,Jun,39,27,9
2015,Jun,,,
2015,Jul,,,
2015,Jul,,,
2015,Jul,38,34,6
2015,Jul,37,31,10
2015,Jul,,,
2015,Jul,40,28,7
2015,Aug,40,31,7
2015,Aug,38,33,6
2015,Aug,40,29,8
2015,Aug,42,28,8
2015,Aug,,,
2015,Sep,38,32,6
2015,Sep,38,32,8
2015,Sep,37,32,6
2015,Sep,42,30,7
2015,Sep,39,31,6
2015,Sep,,,
2015,Sep,39,34,9
2015,Sep,39,30,9
2015,Sep,37,31,7
2015,Oct,38,34,7
2015,Oct,37,32,5
2015,Oct,42,29,7
2015,Oct,,,
2015,Oct,36,32,10
2015,Oct,37,31,6
2015,Oct,38,33,8
2015,Oct,,,
2015,Nov,,,
2015,Nov,37,30,7
2015,Nov,39,33,7
2015,Nov,41,34,7
2015,Nov,,,
2015,Nov,37,30,6
2015,Nov,42,27,7
2015,Nov,40,29,8
2015,Nov,41,30,6
2015,Dec,40,29,7
2015,Dec,37,33,7
2015,Dec,,,
2015,Dec,38,31,9
2015,Dec,38,30,5
2015,Dec,,,
2015,Dec,39,29,6
2015,Dec,39,34,7
2016,Jan,40,29,7
2016,Jan,,,
2016,Jan,37,30,7
2016,Jan,40,35,6
2016,Jan,,,
2016,Jan,37,32,6
2016,Jan,40,31,7
2016,Jan,39,30,6
2016,Feb,39,29,6
2016,Feb,41,27,9
2016,Feb,,,
2016,Feb,39,32,7
2016,Feb,39,33,6
2016,Feb,38,31,8
2016,Feb,38,30,5
2016,Feb,,,
2016,Mar,38,29,7
2016,Mar,36,36,8
2016,Mar,33,34,6
2016,Mar,37,35,7
2016,Mar,36,34,10
2016,Mar,36,31,7
2016,Mar,33,32,5
2016,Apr,,,
2016,Apr,,,
2016,Apr,31,34,8
2016,Apr,35,30,8
2016,Apr,38,33,7
2016,Apr,36,31,7
2016,Apr,38,35,6
2016,Apr,33,32,6
2016,Apr,30,33,6
2016,Apr,38,30,5
2016,May,36,30,8
2016,May,36,34,7
2016,May,34,32,7
2016,May,36,34,8
2016,May,35,30,5
2016,May,31,32,8
2016,May,36,32,7
2016,May,36,31,7
2016,May,34,30,6
2016,Jun,35,32,4
2016,Jun,34,33,9
2016,Jun,34,30,8
2016,Jun,32,30,7
2016,Jun,35,34,9
2016,Jun,34,29,8
2016,Jun,,,
2016,Jun,34,30,6
2016,Jun,32,32,9
2016,Jun,36,32,7
2016,Jun,34,29,7
2016,Jun,35,30,8
2016,Jul,37,30,8
2016,Jul,36,32,9
2016,Jul,38,30,8
2016,Jul,36,35,11
2016,Jul,39,29,9
2016,Jul,40,29,9
2016,Jul,37,31,6
2016,Jul,,,
2016,Jul,43,27,8
2016,Jul,39,29,8
2016,Jul,40,28,8
2016,Aug,42,28,8
2016,Aug,39,26,10
2016,Aug,38,31,8
2016,Aug,,,
2016,Aug,,,
2016,Aug,39,29,8
2016,Aug,40,31,7
2016,Aug,40,28,8
2016,Aug,45,34,7
2016,Aug,38,30,9
2016,Aug,,,
2016,Aug,40,29,8
2016,Aug,41,27,9
2016,Aug,,,
2016,Aug,,,
2016,Aug,38,30,7
2016,Sep,40,29,7
2016,Sep,,,
2016,Sep,41,28,9
2016,Sep,40,34,6
2016,Sep,38,31,7
2016,Sep,,,
2016,Sep,39,30,8
2016,Sep,39,28,8
2016,Sep,41,26,8
2016,Sep,39,29,8
2016,Sep,38,31,5
2016,Sep,39,30,8
2016,Oct,43,26,8
2016,Oct,42,28,9
2016,Oct,47,29,7
2016,Oct,39,30,6
2016,Oct,42,28,8
2016,Oct,40,27,11
2016,Oct,43,27,8
2016,Oct,41,27,10
2016,Nov,40,32,6
2016,Nov,,,
2016,Nov,42,33,10
2016,Nov,42,28,8
2016,Nov,41,29,7
2016,Nov,42,28,9
2016,Nov,41,28,9
2016,Nov,,,
2016,Nov,44,28,7
2016,Nov,,,
2016,Nov,39,27,9
2016,Nov,,,
2016,Dec,42,25,11
2016,Dec,,,
2016,Dec,41,27,9
2016,Dec,40,29,14
2016,Dec,38,31,6
2016,Dec,39,24,12
2017,Jan,39,26,10
2017,Jan,42,28,9
2017,Jan,,,
2017,Jan,39,28,11
2017,Jan,38,30,7
2017,Jan,38,29,10
2017,Jan,43,31,11
2017,Jan,42,25,11
2017,Jan,42,26,10
2017,Jan,40,24,10
2017,Jan,40,26,11
2017,Jan,37,30,8
2017,Feb,,,
2017,Feb,42,27,10
2017,Feb,,,
2017,Feb,40,24,11
2017,Feb,41,26,11
2017,Feb,40,29,13
2017,Feb,40,24,11
2017,Feb,40,27,8
2017,Feb,44,26,8
2017,Feb,41,25,11
2017,Feb,,,
2017,Feb,42,25,11
2017,Mar,41,28,7
2017,Mar,44,28,8
2017,Mar,44,25,11
2017,Mar,,,
2017,Mar,43,30,13
2017,Mar,44,27,10
2017,Mar,41,28,8
2017,Mar,42,25,12
2017,Mar,45,26,9
2017,Mar,41,25,11
2017,Mar,41,28,9
2017,Mar,43,25,11
2017,Mar,,,
2017,Mar,,,
2017,Mar,,,
2017,Mar,43,25,11
2017,Apr,42,25,11
2017,Apr,38,29,7
2017,Apr,46,25,11
2017,Apr,44,23,12
2017,Apr,44,26,10
2017,Apr,46,25,11
2017,Apr,48,24,12
2017,Apr,45,26,11
2017,Apr,50,25,11
2017,Apr,44,29,8
2017,Apr,,,
2017,Apr,48,26,10
2017,Apr,48,25,12
2017,Apr,46,24,11
2017,Apr,49,27,10
2017,Apr,48,29,11
2017,Apr,40,29,11
2017,Apr,42,26,10
2017,Apr,48,27,10
2017,Apr,,,
2017,Apr,49,26,13
2017,Apr,45,29,10
2017,Apr,47,30,8
2017,Apr,42,31,10
2017,Apr,44,31,11
2017,Apr,47,28,9
2017,Apr,,,
2017,Apr,48,24,11
2017,Apr,44,29,9
2017,Apr,47,28,8
2017,Apr,47,30,10
2017,May,48,29,10
2017,May,46,30,9
2017,May,46,31,9
2017,May,46,28,10
2017,May,48,28,7
2017,May,47,28,11
2017,May,44,28,11
2017,May,47,30,7
2017,May,49,27,9
2017,May,48,31,8
2017,May,46,30,11
2017,May,47,32,8
2017,May,46,32,8
2017,May,48,30,10
2017,May,49,31,9
2017,May,47,29,8
2017,May,48,30,8
2017,May,48,28,10
2017,May,47,33,7
2017,May,45,32,8
2017,May,49,34,7
2017,May,46,33,8
2017,May,46,34,7
2017,May,44,35,9
2017,May,42,34,9
2017,May,46,34,8
2017,May,43,34,8
2017,May,47,33,9
2017,May,,,
2017,May,48,33,7
2017,May,,,
2017,May,45,35,7
2017,May,43,38,10
2017,May,44,36,6
2017,May,44,38,7
2017,May,46,32,8
2017,May,46,34,8
2017,May,41,38,9
2017,May,43,36,9
2017,May,43,33,11
2017,May,42,38,9
2017,May,43,37,8
2017,May,45,33,8
2017,May,43,38,6
2017,May,44,36,7
2017,May,42,38,9
2017,May,42,38,9
2017,May,,,
2017,May,42,38,9
2017,May,42,39,7
2017,May,43,37,6
2017,May,45,40,7
2017,May,43,38,6
2017,May,42,38,9
2017,May,45,36,8
2017,May,39,35,8
2017,May,47,35,8
2017,May,45,34,9
2017,May,42,38,9
2017,Jun,42,38,9
2017,Jun,43,38,7
2017,Jun,42,40,6
2017,Jun,45,34,8
2017,Jun,,,
2017,Jun,44,36,7
2017,Jun,40,39,8
2017,Jun,43,36,8
2017,Jun,42,38,6
2017,Jun,39,41,8
2017,Jun,44,34,9
2017,Jun,42,35,10
2017,Jun,46,34,7
2017,Jun,46,33,8
2017,Jun,41,40,8
2017,Jun,44,36,7
