Year,Month,Con,Lab,LD
2020,Jan,44.0,29.0,11.0
2020,Jan,47.0,30.0,9.0
2020,Jan,49.0,29.0,10.0
2020,Jan,44.0,33.0,10.0
2020,Jan,49.0,30.0,8.0
2020,Jan,47.0,30.0,11.0
2020,Feb,41.0,29.0,11.0
2020,Feb,48.0,28.0,10.0
2020,Feb,47.0,32.0,7.0
2020,Feb,49.0,30.0,9.0
2020,Feb,47.0,31.0,9.0
2020,Mar,45.0,28.0,11.0
2020,Mar,50.0,29.0,11.0
2020,Mar,49.0,32.0,6.0
2020,Mar,52.0,30.0,9.0
2020,Mar,47.0,29.0,8.0
2020,Mar,54.0,28.0,7.0
2020,Mar,54.0,28.0,6.0
2020,Apr,52.0,28.0,8.0
2020,Apr,49.0,29.0,8.0
2020,Apr,53.0,30.0,7.0
2020,Apr,46.0,29.0,10.0
2020,Apr,55.0,29.0,5.0
2020,Apr,51.0,32.0,6.0
2020,Apr,53.0,32.0,5.0
2020,Apr,54.0,28.0,9.0
2020,Apr,52.0,31.0,8.0
2020,Apr,50.0,33.0,7.0
2020,Apr,50.0,33.0,7.0
2020,Apr,48.0,31.0,8.0
2020,Apr,51.0,33.0,6.0
2020,May,50.0,30.0,7.0
2020,May,49.0,33.0,6.0
2020,May,50.0,31.0,7.0
2020,May,51.0,32.0,7.0
2020,May,49.0,34.0,6.0
2020,May,47.0,35.0,9.0
2020,May,46.0,33.0,7.0
2020,May,48.0,33.0,6.0
2020,May,47.0,35.0,6.0
2020,May,46.0,33.0,8.0
2020,May,44.0,38.0,6.0
2020,May,43.0,38.0,6.0
2020,May,43.0,37.0,9.0
2020,May,43.0,38.0,8.0
2020,May,43.0,39.0,6.0
2020,May,45.0,35.0,6.0
2020,Jun,43.0,36.0,9.0
2020,Jun,41.0,39.0,7.0
2020,Jun,41.0,38.0,8.0
2020,Jun,43.0,40.0,6.0
2020,Jun,43.0,38.0,10.0
2020,Jun,42.0,36.0,8.0
2020,Jun,41.0,39.0,9.0
2020,Jun,45.0,37.0,6.0
2020,Jun,44.0,39.0,6.0
2020,Jun,43.0,35.0,8.0
2020,Jun,40.0,36.0,9.0
2020,Jun,43.0,38.0,8.0
2020,Jun,44.0,40.0,5.0
2020,Jun,43.0,36.0,8.0
2020,Jun,44.0,38.0,7.0
2020,Jun,43.0,39.0,6.0
2020,Jun,45.0,37.0,5.0
2020,Jul,42.0,38.0,8.0
2020,Jul,41.0,37.0,8.0
2020,Jul,41.0,36.0,7.0
2020,Jul,44.0,37.0,7.0
2020,Jul,44.0,39.0,7.0
2020,Jul,46.0,36.0,6.0
2020,Jul,42.0,38.0,6.0
2020,Jul,44.0,38.0,7.0
2020,Jul,45.0,35.0,9.0
2020,Jul,42.0,36.0,8.0
2020,Jul,44.0,37.0,8.0
2020,Jul,44.0,36.0,6.0
2020,Jul,43.0,37.0,6.0
2020,Jul,44.0,36.0,8.0
2020,Jul,44.0,35.0,7.0
2020,Jul,42.0,38.0,6.0
2020,Jul,43.0,38.0,7.0
2020,Jul,41.0,38.0,6.0
2020,Jul,43.0,35.0,6.0
2020,Jul,45.0,37.0,6.0
2020,Jul,44.0,35.0,8.0
2020,Aug,42.0,36.0,8.0
2020,Aug,42.0,35.0,8.0
2020,Aug,44.0,35.0,5.0
2020,Aug,43.0,36.0,9.0
2020,Aug,42.0,39.0,5.0
2020,Aug,42.0,37.0,7.0
2020,Aug,40.0,38.0,6.0
2020,Aug,44.0,37.0,7.0
2020,Aug,41.0,37.0,9.0
2020,Aug,42.0,37.0,9.0
2020,Aug,43.0,36.0,6.0
2020,Aug,40.0,40.0,6.0
2020,Sep,43.0,37.0,8.0
2020,Sep,40.0,38.0,8.0
2020,Sep,43.0,37.0,6.0
2020,Sep,42.0,38.0,6.0
2020,Sep,42.0,37.0,6.0
2020,Sep,42.0,39.0,6.0
2020,Sep,40.0,37.0,8.0
2020,Sep,41.0,39.0,8.0
2020,Sep,40.0,38.0,7.0
2020,Sep,40.0,40.0,6.0
2020,Sep,40.0,38.0,9.0
2020,Sep,40.0,37.0,8.0
2020,Sep,40.0,40.0,7.0
2020,Sep,41.0,38.0,6.0
2020,Sep,39.0,42.0,5.0
2020,Sep,42.0,38.0,6.0
2020,Sep,41.0,38.0,8.0
2020,Sep,39.0,39.0,6.0
2020,Sep,39.0,39.0,8.0
2020,Oct,42.0,39.0,7.0
2020,Oct,41.0,37.0,7.0
2020,Oct,41.0,38.0,5.0
2020,Oct,41.0,39.0,8.0
2020,Oct,40.0,40.0,6.0
2020,Oct,39.0,39.0,7.0
2020,Oct,41.0,38.0,5.0
2020,Oct,39.0,38.0,6.0
2020,Oct,42.0,36.0,8.0
2020,Oct,40.0,40.0,7.0
2020,Oct,40.0,39.0,7.0
2020,Oct,38.0,40.0,6.0
2020,Oct,42.0,39.0,7.0
2020,Oct,37.0,42.0,8.0
2020,Oct,42.0,39.0,7.0
2020,Oct,39.0,41.0,7.0
2020,Oct,38.0,38.0,6.0
2020,Oct,40.0,40.0,7.0
2020,Nov,35.0,40.0,7.0
2020,Nov,39.0,37.0,9.0
2020,Nov,38.0,42.0,7.0
2020,Nov,40.0,36.0,8.0
2020,Nov,40.0,36.0,8.0
2020,Nov,40.0,40.0,7.0
2020,Nov,38.0,40.0,5.0
2020,Nov,41.0,38.0,5.0
2020,Nov,38.0,37.0,7.0
2020,Nov,40.0,39.0,8.0
2020,Nov,41.0,38.0,6.0
2020,Nov,39.0,37.0,7.0
2020,Nov,39.0,37.0,7.0
2020,Nov,37.0,40.0,5.0
2020,Nov,37.0,38.0,9.0
2020,Nov,40.0,38.0,6.0
2020,Nov,39.0,38.0,8.0
2020,Dec,40.0,37.0,9.0
2020,Dec,38.0,38.0,6.0
2020,Dec,38.0,40.0,6.0
2020,Dec,39.0,37.0,8.0
2020,Dec,41.0,41.0,6.0
2020,Dec,36.0,38.0,9.0
2020,Dec,37.0,37.0,8.0
2020,Dec,38.0,37.0,10.0
2020,Dec,38.0,37.0,8.0
2020,Dec,39.0,37.0,6.0
2020,Dec,39.0,39.0,6.0
2020,Dec,41.0,39.0,8.0
2020,Dec,37.0,41.0,5.0
2020,Dec,39.0,38.0,8.0
2020,Dec,43.0,38.0,4.0
2021,Jan,39.0,40.0,6.0
2021,Jan,39.0,39.0,6.0
2021,Jan,40.0,37.0,8.0
2021,Jan,41.0,37.0,8.0
2021,Jan,40.0,38.0,7.0
2021,Jan,38.0,39.0,5.0
2021,Jan,37.0,41.0,6.0
2021,Jan,39.0,37.0,7.0
2021,Jan,40.0,38.0,8.0
2021,Jan,39.0,38.0,5.0
2021,Jan,41.0,39.0,7.0
2021,Jan,40.0,37.0,10.0
2021,Jan,40.0,37.0,8.0
2021,Jan,42.0,37.0,8.0
2021,Jan,43.0,37.0,5.0
2021,Jan,37.0,41.0,6.0
2021,Jan,41.0,38.0,7.0
2021,Jan,41.0,38.0,6.0
2021,Jan,42.0,38.0,7.0
2021,Feb,40.0,38.0,8.0
2021,Feb,41.0,37.0,6.0
2021,Feb,39.0,33.0,9.0
2021,Feb,41.0,37.0,8.0
2021,Feb,43.0,38.0,7.0
2021,Feb,41.0,36.0,6.0
2021,Feb,42.0,37.0,6.0
2021,Feb,42.0,37.0,7.0
2021,Feb,41.0,39.0,8.0
2021,Feb,40.0,37.0,7.0
2021,Feb,40.0,33.0,11.0
2021,Feb,40.0,38.0,7.0
2021,Feb,43.0,37.0,7.0
2021,Feb,42.0,34.0,7.0
2021,Feb,43.0,36.0,7.0
2021,Feb,42.0,38.0,6.0
2021,Feb,41.0,36.0,5.0
2021,Feb,43.0,36.0,7.0
2021,Mar,44.0,38.0,7.0
2021,Mar,45.0,32.0,6.0
2021,Mar,42.0,36.0,8.0
2021,Mar,45.0,38.0,6.0
2021,Mar,45.0,36.0,7.0
2021,Mar,43.0,33.0,9.0
2021,Mar,42.0,33.0,7.0
2021,Mar,43.0,37.0,6.0
2021,Mar,39.0,37.0,8.0
2021,Mar,42.0,37.0,7.0
2021,Mar,43.0,36.0,7.0
2021,Mar,39.0,37.0,9.0
2021,Mar,43.0,34.0,5.0
2021,Mar,42.0,38.0,6.0
2021,Mar,42.0,36.0,9.0
2021,Mar,41.0,37.0,6.0
2021,Mar,42.0,32.0,8.0
2021,Mar,44.0,36.0,6.0
2021,Mar,42.0,34.0,9.0
2021,Mar,44.0,36.0,7.0
2021,Mar,42.0,34.0,7.0
2021,Apr,42.0,35.0,8.0
2021,Apr,44.0,34.0,9.0
2021,Apr,41.0,34.0,6.0
2021,Apr,45.0,36.0,6.0
2021,Apr,45.0,36.0,6.0
2021,Apr,43.0,35.0,8.0
2021,Apr,42.0,35.0,7.0
2021,Apr,43.0,36.0,7.0
2021,Apr,43.0,29.0,8.0
2021,Apr,40.0,34.0,9.0
2021,Apr,43.0,34.0,7.0
2021,Apr,40.0,37.0,8.0
2021,Apr,44.0,34.0,10.0
2021,Apr,44.0,34.0,5.0
2021,Apr,44.0,33.0,7.0
2021,Apr,39.0,35.0,9.0
2021,Apr,41.0,33.0,10.0
2021,Apr,42.0,35.0,8.0
2021,Apr,44.0,34.0,8.0
2021,Apr,44.0,33.0,7.0
2021,Apr,39.0,38.0,9.0
2021,Apr,43.0,34.0,5.0
2021,Apr,42.0,37.0,7.0
2021,Apr,40.0,39.0,6.0
2021,Apr,40.0,36.0,8.0
2021,May,40.0,38.0,7.0
2021,May,45.0,36.0,6.0
