Year,Month,Con,Lab,LD
2017,Jun ,,,
2017,Jun ,39,45,7
2017,Jun ,,,
2017,Jun ,,,
2017,Jun ,41,44,6
2017,Jun ,41,46,6
2017,Jun ,,,
2017,Jun ,,,
2017,Jun ,39,45,5
2017,Jun ,41,40,7
2017,Jun , ,,
2017,Jun ,41,43,7
2017,Jul,38,46,6
2017,Jul,40,45,7
2017,Jul,41,43,5
2017,Jul,38,41,9
2017,Jul,39,41,8
2017,Jul,42,43,7
2017,Jul,41,42,9
2017,Jul,41,43,6
2017,Jul,36,36,6
2017,Jul,41,44,7
2017,Aug,42,39,7
2017,Aug,,,
2017,Aug,40,43,6
2017,Aug,41,42,8
2017,Aug,42,42,7
2017,Aug,,,
2017,Aug,41,42,6
2017,Aug,38,43,7
2017,Sep,,,
2017,Sep,42,42,7
2017,Sep,,,
2017,Sep,41,42,7
2017,Sep,41,41,5
2017,Sep,39,38,8
2017,Sep,40,44,9
2017,Sep,40,41,7
2017,Sep,42,40,6
2017,Sep,38,42,8
2017,Sep,40,42,8
2017,Sep,39,43,7
2017,Sep,37,42,10
2017,Oct,40,42,7
2017,Oct,38,44,7
2017,Oct,40,42,5
2017,Oct,41,41,7
2017,Oct,39,42,8
2017,Oct,37,43,8
2017,Oct,40,42,8
2017,Oct,42,42,7
2017,Oct,41,43,7
2017,Oct,38,40,9
2017,Nov,40,43,6
2017,Nov,,,
2017,Nov,,,
2017,Nov,41,41,7
2017,Nov,40,42,6
2017,Nov,40,41,8
2017,Nov,42,38,9
2017,Nov,,,
2017,Nov,40,43,7
2017,Nov,39,41,7
2017,Nov,41,41,7
2017,Nov,37,39,9
2017,Nov,40,41,8
2017,Nov,37,45,6
2017,Dec,40,41,7
2017,Dec,37,40,9
2017,Dec,42,40,8
2017,Dec,,,
2017,Dec,42,41,7
2017,Dec,39,41,7
2017,Dec,41,42,7
2017,Dec,40,42,7
2018,Jan,40,41,9
2018,Jan,40,41,8
2018,Jan,41,41,7
2018,Jan,40,40,6
2018,Jan,40,41,7
2018,Jan,41,42,7
2018,Jan,,,
2018,Jan,39,42,9
2018,Jan,40,43,8
2018,Jan,42,42,6
2018,Jan,,,
2018,Jan,,,
2018,Feb,41,40,8
2018,Feb,43,39,8
2018,Feb,42,39,7
2018,Feb,40,40,8
2018,Feb,35,40,8
2018,Feb,40,41,8
2018,Feb,,,
2018,Feb,42,43,7
2018,Feb,40,42,8
2018,Feb,41,42,7
2018,Feb,,,
